"Name","Plays","Pos","Team","5-9 Tech %","Impact Plays","Havoc Plays","Pressures","Sacks","Run Stuffs","Run Disrupts","True Tackles","Blocks","Pass 1-on-1s","Run 1-on-1s","Batted Balls","Forced Fumbles","Fumble Recs","INTs","Impact %","Havoc %","Pressure %","Time to Pressure","Sack %","QB Proximity","Stuff %","Run Disrupt %","True Tackle %","Pass 1-on-1 %","Run 1-on-1 %","STS","DOTk","YATA","Stops","Stop %","Tot Tackles","Solo Tackles","Tot Tack %","Solo Tack %","Assisted Tackles","Ast Tack %"
"Aaron Faumui","599","DL","UVA","2.0%","29","32","8","-","9","13","24.5","893","114","142","3","0","0","0","4.8%","5.3%","2.7%","3.1","-","4.7","3.0%","4.3%","4.1%","38.6%","46.7%","44.7%","1.2","3.2","12","32.4%","39","10","6.5%","1.7%","29","4.8%"
"Aaron Lewis","636","DL","RUT","77.0%","34","30","15","3.5","4","10","28","770","210","202","2","1","0","0","5.3%","4.7%","4.6%","3.5","1.1%","4.7","1.3%","3.2%","4.4%","64.0%","65.6%","45.1%","3.0","4.5","4","10.0%","49","7","7.7%","1.1%","42","6.6%"
"Adin Huntington","675","DL","ULM","29.0%","60","80","25","7","8","48","42.5","890","179","200","1","4","0","0","8.9%","11.9%","7.6%","3.7","2.1%","4.3","2.3%","13.8%","6.3%","54.7%","57.5%","55.2%","1.0","4.2","11","19.6%","63","22","9.3%","3.3%","41","6.1%"
"Ahmed Hassanein","725","DL","BSU","83.6%","45","53","32","11","3","15","38","804","239","176","0","2","0","0","6.2%","7.3%","8.0%","4.3","2.8%","4.5","0.9%","4.6%","5.2%","59.8%","54.2%","47.4%","0.6","4.3","12","21.4%","56","20","7.7%","2.8%","36","5.0%"
"Alex Gubner","758","DL","MONT","0.1%","55","65","15","2.5","10","41","29","1100","163","151","3","0","0","0","7.3%","8.6%","3.6%","3.5","0.6%","4.5","2.9%","12.1%","3.8%","38.9%","44.5%","50.0%","1.4","3.1","14","31.1%","45","13","5.9%","1.7%","32","4.2%"
"Andre Carter","649","DL","IU","77.7%","39","49","12","2","12","32","39.5","788","177","212","0","0","0","0","6.0%","7.6%","3.9%","3.1","0.7%","4.5","3.5%","9.3%","6.1%","57.8%","61.8%","47.5%","1.6","4.5","14","23.3%","62","17","9.6%","2.6%","45","6.9%"
"Andrew Choi","521","DL","HAW","95.4%","31","33","11","2.5","5","20","25","461","134","147","0","0","0","0","6.0%","6.3%","4.7%","3.4","1.1%","4.8","1.7%","7.0%","4.8%","57.0%","51.4%","47.1%","3.1","5.3","6","18.2%","40","10","7.7%","1.9%","30","5.8%"
"Anthony Blume","519","DL","GAST","3.9%","13","17","5","3","0","12","17.5","693","154","141","0","1","0","0","2.5%","3.3%","1.8%","3.9","1.1%","4.6","0%","4.8%","3.4%","56.8%","56.9%","47.6%","1.2","3.6","2","10.5%","30","5","5.8%","1.0%","25","4.8%"
"Anthony Franklin","532","DL","STAN","2.3%","18","32","11","3","2","20","17","773","128","150","1","0","0","0","3.4%","6.0%","4.1%","5.3","1.1%","5.2","0.8%","7.5%","3.2%","47.9%","56.6%","52.3%","1.1","3.8","6","28.6%","26","8","4.9%","1.5%","18","3.4%"
"Anthony Goodlow","537","DL","OKST","54.4%","37","48","11","2.5","5","34","26.5","713","161","141","0","0","0","0","6.9%","8.9%","3.9%","3.7","0.9%","4.8","2.0%","13.5%","4.9%","56.5%","56.0%","59.5%","2.7","2.7","13","35.1%","40","13","7.4%","2.4%","27","5.0%"
"Ashton Gillotte","574","DL","LOU","59.8%","55","69","27","9","5","37","31","672","181","162","0","2","1","0","9.6%","12.0%","8.7%","3.2","2.9%","4.5","1.9%","14.0%","5.4%","58.6%","61.1%","58.7%","-0.1","2.8","7","15.2%","45","17","7.8%","3.0%","28","4.9%"
"Austin Ertl","639","DL","M-OH","0.3%","36","43","7","1","4","28","26","889","143","204","5","0","0","0","5.6%","6.7%","2.5%","3.5","0.4%","4.6","1.1%","7.8%","4.1%","51.3%","56.7%","45.9%","3.2","3.4","6","16.7%","43","9","6.7%","1.4%","34","5.3%"
"B.J. Green II","649","DL","ASU","79.0%","43","45","13","6","4","28","34","675","222","171","0","1","0","0","6.6%","6.9%","3.4%","4.1","1.6%","4.7","1.5%","10.3%","5.2%","58.7%","63.1%","61.1%","0.9","2.2","11","25.0%","47","21","7.2%","3.2%","26","4.0%"
"Barryn Sorrell","557","DL","TEX","84.0%","27","32","15","2.5","4","14","27","559","253","150","0","0","0","0","4.8%","5.7%","4.6%","3.5","0.8%","4.7","1.8%","6.1%","4.8%","76.9%","65.8%","59.1%","1.8","3.5","5","15.6%","42","12","7.5%","2.2%","30","5.4%"
"Bear Alexander","618","DL","USC","2.3%","37","51","15","1","4","31","33","954","127","153","2","0","0","0","6.0%","8.3%","4.9%","2.7","0.3%","4.2","1.3%","10.0%","5.3%","41.4%","49.2%","45.9%","2.4","4.3","9","19.1%","54","12","8.7%","1.9%","42","6.8%"
